[88, 100] Train Error: 0.0025 | Train Perf: 0.9075 | Eval Error: 0.0046 | Eval Perf: 0.8241
[89, 100] Train Error: 0.0025 | Train Perf: 0.9086 | Eval Error: 0.0046 | Eval Perf: 0.8244
[90, 100] Train Error: 0.0024 | Train Perf: 0.909 | Eval Error: 0.0046 | Eval Perf: 0.825
[91, 100] Train Error: 0.0024 | Train Perf: 0.9094 | Eval Error: 0.0046 | Eval Perf: 0.8254
[92, 100] Train Error: 0.0024 | Train Perf: 0.9104 | Eval Error: 0.0046 | Eval Perf: 0.8252
[93, 100] Train Error: 0.0024 | Train Perf: 0.9107 | Eval Error: 0.0046 | Eval Perf: 0.8257
[94, 100] Train Error: 0.0024 | Train Perf: 0.9114 | Eval Error: 0.0046 | Eval Perf: 0.8259
[95, 100] Train Error: 0.0024 | Train Perf: 0.9116 | Eval Error: 0.0046 | Eval Perf: 0.8262
[96, 100] Train Error: 0.0024 | Train Perf: 0.9123 | Eval Error: 0.0046 | Eval Perf: 0.8263
[97, 100] Train Error: 0.0023 | Train Perf: 0.9126 | Eval Error: 0.0046 | Eval Perf: 0.8266
[98, 100] Train Error: 0.0023 | Train Perf: 0.9135 | Eval Error: 0.0046 | Eval Perf: 0.8269
[99, 100] Train Error: 0.0023 | Train Perf: 0.9149 | Eval Error: 0.0045 | Eval Perf: 0.8267
