[74, 100] Train Error: 0.0028 | Train Perf: 0.8944 | Eval Error: 0.0039 | Eval Perf: 0.8572
[75, 100] Train Error: 0.0028 | Train Perf: 0.8943 | Eval Error: 0.0039 | Eval Perf: 0.8568
[76, 100] Train Error: 0.0028 | Train Perf: 0.8951 | Eval Error: 0.0039 | Eval Perf: 0.8568
[77, 100] Train Error: 0.0027 | Train Perf: 0.8959 | Eval Error: 0.0039 | Eval Perf: 0.8591
[78, 100] Train Error: 0.0027 | Train Perf: 0.8969 | Eval Error: 0.0039 | Eval Perf: 0.8583
[79, 100] Train Error: 0.0027 | Train Perf: 0.8977 | Eval Error: 0.0039 | Eval Perf: 0.8597
[80, 100] Train Error: 0.0027 | Train Perf: 0.8985 | Eval Error: 0.0039 | Eval Perf: 0.8585
[81, 100] Train Error: 0.0027 | Train Perf: 0.8987 | Eval Error: 0.0039 | Eval Perf: 0.8595
[82, 100] Train Error: 0.0026 | Train Perf: 0.9017 | Eval Error: 0.0038 | Eval Perf: 0.8587
[83, 100] Train Error: 0.0026 | Train Perf: 0.9 | Eval Error: 0.0038 | Eval Perf: 0.8599
[84, 100] Train Error: 0.0026 | Train Perf: 0.9012 | Eval Error: 0.0039 | Eval Perf: 0.861
[85, 100] Train Error: 0.0026 | Train Perf: 0.9018 | Eval Error: 0.0038 | Eval Perf: 0.8597
[86, 100] Train Error: 0.0026 | Train Perf: 0.9022 | Eval Error: 0.0038 | Eval Perf: 0.8605
[87, 100] Train Error: 0.0026 | Train Perf: 0.9039 | Eval Error: 0.0038 | Eval Perf: 0.8584
[88, 100] Train Error: 0.0026 | Train Perf: 0.9029 | Eval Error: 0.0038 | Eval Perf: 0.8609
[89, 100] Train Error: 0.0025 | Train Perf: 0.9043 | Eval Error: 0.0038 | Eval Perf: 0.8608
[90, 100] Train Error: 0.0025 | Train Perf: 0.9053 | Eval Error: 0.0038 | Eval Perf: 0.8596
[91, 100] Train Error: 0.0025 | Train Perf: 0.9051 | Eval Error: 0.0038 | Eval Perf: 0.8602
[92, 100] Train Error: 0.0025 | Train Perf: 0.9056 | Eval Error: 0.0038 | Eval Perf: 0.8609
[93, 100] Train Error: 0.0025 | Train Perf: 0.9069 | Eval Error: 0.0038 | Eval Perf: 0.8617
[94, 100] Train Error: 0.0025 | Train Perf: 0.9075 | Eval Error: 0.0038 | Eval Perf: 0.8603
[95, 100] Train Error: 0.0025 | Train Perf: 0.9075 | Eval Error: 0.0038 | Eval Perf: 0.8603
[96, 100] Train Error: 0.0024 | Train Perf: 0.9076 | Eval Error: 0.0038 | Eval Perf: 0.8617
[97, 100] Train Error: 0.0024 | Train Perf: 0.9089 | Eval Error: 0.0038 | Eval Perf: 0.8621
[98, 100] Train Error: 0.0024 | Train Perf: 0.9095 | Eval Error: 0.0038 | Eval Perf: 0.8611
[99, 100] Train Error: 0.0024 | Train Perf: 0.9102 | Eval Error: 0.0038 | Eval Perf: 0.8598
